Data Periods,Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,parking,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),13,662,662,0.3,0.3
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,parking,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),6,995,995,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,parking,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),3,904,904,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),27,1100,1100,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),1,1773,1773,0.2,0.2
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),2,1197,1197,0.4,0.4
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),4,602,602,0.2,0.2
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),7,1396,1396,0.9,0.9
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),8,1105,1105,0.5,0.5
"Jun 01, 2021 - Aug 31, 2021",Pedestrian - StL Pedestrian Volume,Trip Start,N/A,rec-center,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),2,736,736,0.3,0.3
